scenario,repeat,scheduler,n,workers,split_depth,abp_capacity,chase_log_capacity,steal_attempt_budget,solutions,known_solutions,correct,elapsed_seconds,sequential_seconds,speedup,tasks_created,tasks_scheduled,tasks_completed,tasks_per_second,successful_steals,failed_steal_attempts,steal_attempts,steal_aborts,idle_seconds,load_min,load_max,load_mean,load_stddev,abp_overflows,chase_lev_resizes,inline_overflow_tasks,command
scaling,0,global,12,1,5,4096,4,0,14200,14200,1,0.012471,0.006947000,0.557052361,21811,21811,21811,1748937.535081,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,global,12,1,5,4096,4,0,14200,14200,1,0.012134,0.006947000,0.572523488,21811,21811,21811,1797511.125762,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,global,12,1,5,4096,4,0,14200,14200,1,0.013490,0.006947000,0.514974055,21811,21811,21811,1616827.279466,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,abp,12,1,5,4096,4,0,14200,14200,1,0.017724,0.006947000,0.391954412,21811,21811,21811,1230591.288648,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,abp,12,1,5,4096,4,0,14200,14200,1,0.012978,0.006947000,0.535290492,21811,21811,21811,1680613.345662,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,abp,12,1,5,4096,4,0,14200,14200,1,0.013014,0.006947000,0.533809743,21811,21811,21811,1675964.346089,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012170,0.006947000,0.570829910,21811,21811,21811,1792193.919474,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012412,0.006947000,0.559700290,21811,21811,21811,1757251.047374,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012650,0.006947000,0.549169960,21811,21811,21811,1724189.723320,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,global,12,2,5,4096,4,0,14200,14200,1,0.012983,0.006947000,0.535084341,21811,21811,21811,1679966.109528,0,0,0,0,0.000000,10885,10926,10905.500000,20.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
